iteration array_size elapsed_time_ij elapsed_time_ji
0 0.0625000000 0.000000 0.000000
1 0.2500000000 0.000001 0.000001
2 1.0000000000 0.000005 0.000004
3 4.0000000000 0.000020 0.000016
4 16.0000000000 0.000081 0.000068
5 144.0000000000 0.000710 0.000508
6 256.0000000000 0.000966 0.000555
7 400.0000000000 0.001412 0.000733
8 576.0000000000 0.001808 0.001081
9 1024.0000000000 0.004375 0.001898
10 2304.0000000000 0.008337 0.004210
11 4096.0000000000 0.023813 0.007289
12 6400.0000000000 0.027850 0.011524
13 9216.0000000000 0.054625 0.016484
14 12544.0000000000 0.085237 0.023053
